date,v,u,velocity,direction
2009-05-30 00,2.30E+00,1.20E+00,2.63E+00,2.07E+02
2009-05-31 00,2.76E+00,1.12E+00,3.02E+00,2.02E+02
2009-06-01 00,2.79E+00,1.41E+00,3.19E+00,2.07E+02
2009-06-02 00,1.07E+00,7.66E-01,1.96E+00,1.97E+02
2009-06-03 00,1.34E+00,1.48E+00,2.07E+00,2.25E+02
2009-06-04 00,2.47E+00,1.66E+00,3.14E+00,2.14E+02
2009-06-05 00,2.84E+00,1.29E+00,3.21E+00,2.05E+02
2009-06-06 00,1.33E+00,7.21E-01,1.65E+00,2.07E+02
2009-06-07 00,1.24E+00,1.59E+00,2.10E+00,2.20E+02
2009-06-08 00,2.02E+00,1.66E+00,2.68E+00,2.18E+02
2009-06-09 00,3.19E+00,1.60E+00,3.61E+00,2.06E+02
2009-06-10 00,2.64E+00,1.37E+00,3.12E+00,2.05E+02
2009-06-11 00,1.55E+00,2.04E+00,2.61E+00,2.35E+02
2009-06-12 00,2.09E+00,1.65E+00,2.69E+00,2.18E+02
2009-06-13 00,2.91E+00,7.93E-01,3.19E+00,1.98E+02
2009-06-14 00,1.71E+00,1.58E+00,2.37E+00,2.22E+02
2009-06-15 00,1.36E+00,1.12E+00,1.92E+00,2.19E+02
2009-06-16 00,8.60E-01,1.86E+00,2.26E+00,2.55E+02
2009-06-17 00,1.00E+00,1.71E+00,2.27E+00,2.42E+02
2009-06-18 00,-1.84E+00,1.71E+00,2.60E+00,3.15E+02
2009-06-19 00,1.30E+00,2.74E+00,3.09E+00,2.49E+02
2009-06-20 00,2.47E+00,2.76E+00,3.75E+00,2.29E+02
2009-06-21 00,-4.16E-01,1.82E+00,2.55E+00,2.83E+02
2009-06-22 00,-3.35E+00,1.71E+00,3.80E+00,3.32E+02
2009-06-23 00,-1.09E+00,1.53E+00,2.19E+00,3.00E+02
2009-06-24 00,1.21E+00,1.75E+00,2.34E+00,2.56E+02
2009-06-25 00,2.12E+00,1.56E+00,2.67E+00,2.17E+02
2009-06-26 00,-5.53E-01,1.15E+00,1.73E+00,2.90E+02
2009-06-27 00,-2.94E+00,2.42E-01,3.00E+00,2.19E+02
2009-06-28 00,-2.43E+00,9.83E-01,3.16E+00,2.16E+02
2009-06-29 00,2.85E-01,1.53E+00,2.07E+00,2.24E+02
2009-06-30 00,1.20E+00,1.79E+00,2.19E+00,2.35E+02
2009-07-01 00,1.37E+00,1.89E+00,2.37E+00,2.34E+02
2009-07-02 00,2.11E+00,1.30E+00,2.50E+00,2.10E+02
2009-07-03 00,2.31E+00,8.47E-01,2.55E+00,2.01E+02
2009-07-04 00,1.80E+00,1.65E+00,2.50E+00,2.18E+02
2009-07-05 00,2.96E+00,1.18E+00,3.25E+00,2.01E+02
2009-07-06 00,1.81E+00,1.34E+00,2.45E+00,2.15E+02
2009-07-07 00,2.54E+00,1.27E+00,2.87E+00,2.03E+02
2009-07-08 00,1.10E+00,2.09E+00,2.44E+00,2.45E+02
2009-07-09 00,1.17E+00,1.76E+00,2.25E+00,2.39E+02
2009-07-10 00,1.80E+00,1.40E+00,2.37E+00,2.15E+02
2009-07-11 00,1.62E+00,1.54E+00,2.27E+00,2.27E+02
2009-07-12 00,1.44E+00,1.88E+00,2.68E+00,2.28E+02
2009-07-13 00,-4.27E+00,8.61E-01,4.36E+00,3.48E+02
2009-07-14 00,-2.95E+00,9.57E-01,3.31E+00,2.59E+02
2009-07-15 00,-3.70E-01,1.44E+00,2.42E+00,2.89E+02
2009-07-16 00,8.24E-01,1.13E+00,1.66E+00,2.28E+02
2009-07-17 00,-9.33E-02,1.16E+00,1.41E+00,2.33E+02
2009-07-18 00,5.26E-01,1.37E+00,1.52E+00,2.47E+02
2009-07-19 00,5.91E-01,1.89E+00,2.15E+00,2.63E+02
2009-07-20 00,2.72E+00,1.68E+00,3.27E+00,2.10E+02
2009-07-21 00,2.09E+00,1.32E+00,2.62E+00,2.13E+02
2009-07-22 00,1.14E+00,1.41E+00,1.95E+00,2.28E+02
2009-07-23 00,9.97E-01,1.19E+00,1.70E+00,2.29E+02
2009-07-24 00,2.14E+00,1.07E+00,2.43E+00,2.05E+02
