conc_benth,date
7859800000.0,2010-06-26
7846300000.0,2010-06-27
7832600000.0,2010-06-28
7819000000.0,2010-06-29
7804900000.0,2010-06-30
7790800000.0,2010-07-01
7776600000.0,2010-07-02
7761800000.0,2010-07-03
7746100000.0,2010-07-04
7730600000.0,2010-07-05
7716200000.0,2010-07-06
7701800000.0,2010-07-07
7687500000.0,2010-07-08
7673200000.0,2010-07-09
7659000000.0,2010-07-10
7644700000.0,2010-07-11
7630100000.0,2010-07-12
7614700000.0,2010-07-13
7599300000.0,2010-07-14
7584300000.0,2010-07-15
7568500000.0,2010-07-16
7552300000.0,2010-07-17
7535600000.0,2010-07-18
7518600000.0,2010-07-19
7501500000.0,2010-07-20
7483800000.0,2010-07-21
7466000000.0,2010-07-22
7448700000.0,2010-07-23
7431800000.0,2010-07-24
7414700000.0,2010-07-25
7397100000.0,2010-07-26
7379100000.0,2010-07-27
7361300000.0,2010-07-28
7344100000.0,2010-07-29
7327400000.0,2010-07-30
7310000000.0,2010-07-31
7292800000.0,2010-08-01
7276000000.0,2010-08-02
7258900000.0,2010-08-03
7242100000.0,2010-08-04
7225000000.0,2010-08-05
7208200000.0,2010-08-06
7191600000.0,2010-08-07
7174400000.0,2010-08-08
7157200000.0,2010-08-09
7140500000.0,2010-08-10
7124000000.0,2010-08-11
7107800000.0,2010-08-12
7092500000.0,2010-08-13
7077300000.0,2010-08-14
7062300000.0,2010-08-15
7047800000.0,2010-08-16
7033000000.0,2010-08-17
7018100000.0,2010-08-18
7003900000.0,2010-08-19
6989700000.0,2010-08-20
6974700000.0,2010-08-21
6959800000.0,2010-08-22
6945300000.0,2010-08-23
6930600000.0,2010-08-24
6917000000.0,2010-08-25
6903500000.0,2010-08-26
6888600000.0,2010-08-27
6873500000.0,2010-08-28
6858500000.0,2010-08-29
6844500000.0,2010-08-30
6830500000.0,2010-08-31
6816400000.0,2010-09-01
6803100000.0,2010-09-02
6790100000.0,2010-09-03
6776500000.0,2010-09-04
6762800000.0,2010-09-05
6748500000.0,2010-09-06
6734000000.0,2010-09-07
6718700000.0,2010-09-08
6704400000.0,2010-09-09
6691300000.0,2010-09-10
6678400000.0,2010-09-11
6666000000.0,2010-09-12
6653100000.0,2010-09-13
6640300000.0,2010-09-14
6627900000.0,2010-09-15
6615200000.0,2010-09-16
6602200000.0,2010-09-17
6588800000.0,2010-09-18
6575500000.0,2010-09-19
6562500000.0,2010-09-20
6549600000.0,2010-09-21
6536800000.0,2010-09-22
6524500000.0,2010-09-23
6513400000.0,2010-09-24
6502400000.0,2010-09-25
6491100000.0,2010-09-26
6478900000.0,2010-09-27
6467200000.0,2010-09-28
6455500000.0,2010-09-29
6443500000.0,2010-09-30
6431600000.0,2010-10-01
6419900000.0,2010-10-02
6407800000.0,2010-10-03
6395400000.0,2010-10-04
6383400000.0,2010-10-05
6371800000.0,2010-10-06
6360300000.0,2010-10-07
6349200000.0,2010-10-08
6338700000.0,2010-10-09
6327200000.0,2010-10-10
6315400000.0,2010-10-11
6302600000.0,2010-10-12
6290600000.0,2010-10-13
6280100000.0,2010-10-14
6270400000.0,2010-10-15
6259300000.0,2010-10-16
7830300000.0,2010-10-17
8972100000.0,2010-10-18
9152600000.0,2010-10-19
9170600000.0,2010-10-20
9160200000.0,2010-10-21
9144500000.0,2010-10-22
19341000000.0,2010-10-23
19028000000.0,2010-10-24
18708000000.0,2010-10-25
