conc_h20,date
88327999.99999999,2010-01-22
12711000000.0,2010-01-23
21873000000.0,2010-01-24
23109000000.0,2010-01-25
280020000.0,2010-01-26
12353000000.0,2010-01-27
21404000000.0,2010-01-28
22881000000.0,2010-01-29
13513000000.0,2010-01-30
12190000000.0,2010-01-31
21004000000.0,2010-02-01
22558000000.0,2010-02-02
22835000000.0,2010-02-03
22386000000.0,2010-02-04
194660000.0,2010-02-05
11669000000.0,2010-02-06
1789700000.0,2010-02-07
11949000000.0,2010-02-08
8351500000.0,2010-02-09
11340000000.0,2010-02-10
19415000000.0,2010-02-11
20740000000.0,2010-02-12
21006000000.0,2010-02-13
21037000000.0,2010-02-14
20961000000.0,2010-02-15
20941000000.0,2010-02-16
21068000000.0,2010-02-17
21052000000.0,2010-02-18
20983000000.0,2010-02-19
20845000000.0,2010-02-20
20759000000.0,2010-02-21
20761000000.0,2010-02-22
20540000000.0,2010-02-23
286090000.0,2010-02-24
10843000000.0,2010-02-25
18342000000.0,2010-02-26
1050400000.0000001,2010-02-27
10752000000.0,2010-02-28
18087000000.0,2010-03-01
19162000000.0,2010-03-02
927130000.0,2010-03-03
340590000.0,2010-03-04
10148000000.0,2010-03-05
17336000000.0,2010-03-06
18526000000.0,2010-03-07
18547000000.0,2010-03-08
18564000000.0,2010-03-09
481460000000.0,2010-03-10
20074000000.0,2010-03-11
25008000000.0,2010-03-12
4188700000.0,2010-03-13
14874000000.0,2010-03-14
23764000000.0,2010-03-15
25329000000.0,2010-03-16
25471000000.0,2010-03-17
25194000000.0,2010-03-18
25289000000.0,2010-03-19
25438000000.0,2010-03-20
25435000000.0,2010-03-21
25321000000.0,2010-03-22
25216000000.0,2010-03-23
25162000000.0,2010-03-24
946740000000.0,2010-03-25
22465000000.0,2010-03-26
37353000000.0,2010-03-27
39611000000.0,2010-03-28
39606000000.0,2010-03-29
39143000000.0,2010-03-30
39316000000.0,2010-03-31
39929000000.0,2010-04-01
39716000000.0,2010-04-02
39664000000.0,2010-04-03
39041000000.0,2010-04-04
284990000.0,2010-04-05
20586000000.0,2010-04-06
35702000000.0,2010-04-07
38257000000.0,2010-04-08
38386000000.0,2010-04-09
38173000000.0,2010-04-10
37385000000.0,2010-04-11
1952500000.0,2010-04-12
947460000.0,2010-04-13
19838000000.0,2010-04-14
34144000000.0,2010-04-15
36332000000.0,2010-04-16
36708000000.0,2010-04-17
37000000000.0,2010-04-18
36742000000.0,2010-04-19
36157000000.0,2010-04-20
4054400000.0,2010-04-21
20198000000.0,2010-04-22
33053000000.0,2010-04-23
35228000000.0,2010-04-24
35373000000.0,2010-04-25
35287000000.0,2010-04-26
34983000000.0,2010-04-27
34891000000.0,2010-04-28
5294700000.0,2010-04-29
19278000000.0,2010-04-30
31541000000.0,2010-05-01
33228000000.0,2010-05-02
33874000000.0,2010-05-03
34096000000.0,2010-05-04
33922000000.0,2010-05-05
33739000000.0,2010-05-06
34055000000.0,2010-05-07
34072000000.0,2010-05-08
33826000000.0,2010-05-09
33579000000.0,2010-05-10
33739000000.0,2010-05-11
33724000000.0,2010-05-12
33849000000.0,2010-05-13
34046000000.0,2010-05-14
34210000000.0,2010-05-15
33958000000.0,2010-05-16
33600000000.0,2010-05-17
33726000000.0,2010-05-18
33747000000.0,2010-05-19
33592000000.0,2010-05-20
33242000000.0,2010-05-21
33239000000.0,2010-05-22
33201000000.0,2010-05-23
33228000000.0,2010-05-24
33197000000.0,2010-05-25
6047200000.0,2010-05-26
33035000000.0,2010-05-27
8938300000.0,2010-05-28
19870000000.0,2010-05-29
30096000000.0,2010-05-30
31702000000.0,2010-05-31
31865000000.0,2010-06-01
31955000000.0,2010-06-02
31964000000.0,2010-06-03
31931000000.0,2010-06-04
31995000000.0,2010-06-05
31838000000.0,2010-06-06
31751000000.0,2010-06-07
31645000000.0,2010-06-08
31448000000.0,2010-06-09
31348000000.0,2010-06-10
30338000000.0,2010-06-11
30333000000.0,2010-06-12
30972000000.0,2010-06-13
31233000000.0,2010-06-14
31184000000.0,2010-06-15
30952000000.0,2010-06-16
31062000000.0,2010-06-17
31052000000.0,2010-06-18
30911000000.0,2010-06-19
30994000000.0,2010-06-20
30897000000.0,2010-06-21
31013000000.0,2010-06-22
31057000000.0,2010-06-23
30894000000.0,2010-06-24
30922000000.0,2010-06-25
30765000000.0,2010-06-26
30617000000.0,2010-06-27
30676000000.0,2010-06-28
30546000000.0,2010-06-29
30504000000.0,2010-06-30
30443000000.0,2010-07-01
30354000000.0,2010-07-02
30065000000.0,2010-07-03
29906000000.0,2010-07-04
30121000000.0,2010-07-05
30170000000.0,2010-07-06
30121000000.0,2010-07-07
30124000000.0,2010-07-08
30135000000.0,2010-07-09
30114000000.0,2010-07-10
30115000000.0,2010-07-11
29928000000.0,2010-07-12
29757000000.0,2010-07-13
29852000000.0,2010-07-14
29775000000.0,2010-07-15
29633000000.0,2010-07-16
29539000000.0,2010-07-17
29444000000.0,2010-07-18
29439000000.0,2010-07-19
29299000000.0,2010-07-20
29137000000.0,2010-07-21
29160000000.0,2010-07-22
29211000000.0,2010-07-23
29193000000.0,2010-07-24
29059000000.0,2010-07-25
28864000000.0,2010-07-26
28698000000.0,2010-07-27
28705000000.0,2010-07-28
28783000000.0,2010-07-29
28629000000.0,2010-07-30
28473000000.0,2010-07-31
28548000000.0,2010-08-01
28406000000.0,2010-08-02
28421000000.0,2010-08-03
28267000000.0,2010-08-04
28188000000.0,2010-08-05
28208000000.0,2010-08-06
28055000000.0,2010-08-07
27840000000.0,2010-08-08
27823000000.0,2010-08-09
27816000000.0,2010-08-10
27694000000.0,2010-08-11
27802000000.0,2010-08-12
27809000000.0,2010-08-13
27694000000.0,2010-08-14
27701000000.0,2010-08-15
27603000000.0,2010-08-16
27410000000.0,2010-08-17
27396000000.0,2010-08-18
27493000000.0,2010-08-19
27267000000.0,2010-08-20
27021000000.0,2010-08-21
27135000000.0,2010-08-22
26961000000.0,2010-08-23
27063000000.0,2010-08-24
27321000000.0,2010-08-25
26954000000.0,2010-08-26
26771000000.0,2010-08-27
26585000000.0,2010-08-28
26682000000.0,2010-08-29
26705000000.0,2010-08-30
26575000000.0,2010-08-31
26613000000.0,2010-09-01
26798000000.0,2010-09-02
26599000000.0,2010-09-03
26556000000.0,2010-09-04
26355000000.0,2010-09-05
26259000000.0,2010-09-06
25999000000.0,2010-09-07
25900000000.0,2010-09-08
26196000000.0,2010-09-09
26219000000.0,2010-09-10
26298000000.0,2010-09-11
26193000000.0,2010-09-12
26056000000.0,2010-09-13
26125000000.0,2010-09-14
25999000000.0,2010-09-15
25894000000.0,2010-09-16
25733000000.0,2010-09-17
25616000000.0,2010-09-18
25601000000.0,2010-09-19
25600000000.0,2010-09-20
25533000000.0,2010-09-21
25441000000.0,2010-09-22
25665000000.0,2010-09-23
25659000000.0,2010-09-24
25662000000.0,2010-09-25
25362000000.0,2010-09-26
25360000000.0,2010-09-27
25446000000.0,2010-09-28
25381000000.0,2010-09-29
25316000000.0,2010-09-30
25301000000.0,2010-10-01
25226000000.0,2010-10-02
24975000000.0,2010-10-03
24914000000.0,2010-10-04
24969000000.0,2010-10-05
24936000000.0,2010-10-06
24816000000.0,2010-10-07
25102000000.0,2010-10-08
24826000000.0,2010-10-09
24774000000.0,2010-10-10
24413000000.0,2010-10-11
24384000000.0,2010-10-12
24619000000.0,2010-10-13
25024000000.0,2010-10-14
24765000000.0,2010-10-15
24448000000.0,2010-10-16
24720000000.0,2010-10-17
24597000000.0,2010-10-18
24572000000.0,2010-10-19
24427000000.0,2010-10-20
24168000000.0,2010-10-21
24196000000.0,2010-10-22
23758000000.0,2010-10-23
153370000.0,2010-10-24
466160000.0,2010-10-25
12440000000.0,2010-10-26
21264000000.0,2010-10-27
22774000000.0,2010-10-28
22905000000.0,2010-10-29
22807000000.0,2010-10-30
22979000000.0,2010-10-31
22954000000.0,2010-11-01
22871000000.0,2010-11-02
22916000000.0,2010-11-03
22911000000.0,2010-11-04
22795000000.0,2010-11-05
22656000000.0,2010-11-06
22401000000.0,2010-11-07
22565000000.0,2010-11-08
22690000000.0,2010-11-09
22759000000.0,2010-11-10
22571000000.0,2010-11-11
22465000000.0,2010-11-12
22216000000.0,2010-11-13
21847000000.0,2010-11-14
21772000000.0,2010-11-15
22002000000.0,2010-11-16
22400000000.0,2010-11-17
22414000000.0,2010-11-18
22166000000.0,2010-11-19
181540000.0,2010-11-20
68597000.0,2010-11-21
1620800000.0,2010-11-22
11186000000.0,2010-11-23
19146000000.0,2010-11-24
20691000000.0,2010-11-25
20992000000.0,2010-11-26
20828000000.0,2010-11-27
14543000000.0,2010-11-28
16717000000.0,2010-11-29
20030000000.0,2010-11-30
20665000000.0,2010-12-01
20687000000.0,2010-12-02
74959000000.0,2010-12-03
11538000000.0,2010-12-04
559160000.0,2010-12-05
122430000.0,2010-12-06
10934000000.0,2010-12-07
18710000000.0,2010-12-08
20077000000.0,2010-12-09
20312000000.0,2010-12-10
20351000000.0,2010-12-11
20423000000.0,2010-12-12
20501000000.0,2010-12-13
20300000000.0,2010-12-14
534330000.00000006,2010-12-15
10684000000.0,2010-12-16
18068000000.0,2010-12-17
121650000.0,2010-12-18
220110000.0,2010-12-19
437680000.0,2010-12-20
9964600000.0,2010-12-21
16946000000.0,2010-12-22
39009000000.0,2010-12-23
11191000000.0,2010-12-24
17080000000.0,2010-12-25
342370000.0,2010-12-26
1819700000.0,2010-12-27
9571600000.0,2010-12-28
154730000.0,2010-12-29
9261900000.0,2010-12-30
16035000000.0,2010-12-31
17005000000.0,2011-01-01
4007100000.0,2011-01-02
7643500000.0,2011-01-03
13463000000.0,2011-01-04
16308000000.0,2011-01-05
16806000000.0,2011-01-06
16943000000.0,2011-01-07
16945000000.0,2011-01-08
16803000000.0,2011-01-09
16752000000.0,2011-01-10
16735000000.0,2011-01-11
16753000000.0,2011-01-12
16762000000.0,2011-01-13
16644000000.0,2011-01-14
16610000000.0,2011-01-15
16661000000.0,2011-01-16
16594000000.0,2011-01-17
16544000000.0,2011-01-18
16397000000.0,2011-01-19
16492000000.0,2011-01-20
16679000000.0,2011-01-21
16558000000.0,2011-01-22
16552000000.0,2011-01-23
16578000000.0,2011-01-24
16537000000.0,2011-01-25
16580000000.0,2011-01-26
16630000000.0,2011-01-27
16634000000.0,2011-01-28
16539000000.0,2011-01-29
1404700000000.0,2011-01-30
21180000000.0,2011-01-31
35559000000.0,2011-02-01
38130000000.0,2011-02-02
38827000000.0,2011-02-03
38779000000.0,2011-02-04
38168000000.0,2011-02-05
37963000000.0,2011-02-06
38382000000.0,2011-02-07
37410000000.0,2011-02-08
37632000000.0,2011-02-09
38455000000.0,2011-02-10
38835000000.0,2011-02-11
38718000000.0,2011-02-12
38572000000.0,2011-02-13
38144000000.0,2011-02-14
36957000000.0,2011-02-15
3008300000000.0,2011-02-16
29358000000.0,2011-02-17
2106000000.0,2011-02-18
301760000.0,2011-02-19
44414000000.0,2011-02-20
