datetime,subcatchment_S65_Runoff_rate,subcatchment_S69_Runoff_rate,subcatchment_S72_Runoff_rate,subcatchment_S73_Runoff_rate,subcatchment_S80_Runoff_rate,subcatchment_S81_Runoff_rate,subcatchment_S83_Runoff_rate,subcatchment_S88_Runoff_rate,subcatchment_S90_Runoff_rate,subcatchment_S100_Runoff_rate,subcatchment_S104_Runoff_rate,subcatchment_S105_Runoff_rate,subcatchment_S106_Runoff_rate,subcatchment_S107_Runoff_rate,subcatchment_S109_Runoff_rate,subcatchment_S110_Runoff_rate,subcatchment_S111_Runoff_rate,subcatchment_S112_Runoff_rate,subcatchment_S113_Runoff_rate,runf_sum,date,year,month,day
2016-01-23,0.0,0.05458234977263243,0.19761422896033948,0.12304272899777587,0.14217615930588726,0.22051614664563762,0.2593108352235484,0.2343903023147044,0.10449270279623817,0.0852436248313067,0.19778377048745777,0.29643142151068447,0.2738613960044832,0.05011015581517904,0.22495242413289965,0.20964645892629147,0.23270797938619936,0.19842177269971928,0.2062672255219761,3.311551683332961,2016-01-23,2016,1,23
2016-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-24,2016,1,24
2016-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-25,2016,1,25
2016-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-26,2016,1,26
2016-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-27,2016,1,27
2016-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-28,2016,1,28
2016-01-29,0.0,0.05183884951142365,0.10826793983040602,0.1084853468940086,0.10440283841961522,0.20790437906853834,0.14543686365461814,0.15238818411043242,0.09900398673854437,0.07740751762281571,0.08582856198475426,0.17019342355671255,0.1591057134175037,0.0465232848998735,0.15206300019819433,0.12916851079152353,0.2113571018223371,0.1413550001321277,0.14184454621826056,2.2925750488716896,2016-01-29,2016,1,29
2016-01-30,0.0,0.027623956736413668,0.140216335385629,0.07031156424977975,0.09082437392825445,0.10769090459857279,0.18559773899692011,0.15993691605528879,0.059775045262607976,0.05012659766888988,0.1500819054389462,0.21061840709459864,0.19363559896472166,0.026630950681789847,0.15024781758279268,0.14701560602012945,0.11713593089866065,0.13028963599759572,0.13894365283648613,2.156702938398077,2016-01-30,2016,1,30
2016-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-31,2016,1,31
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-01,2016,2,1
2016-02-02,0.0,0.017929541978244947,0.051770744440016336,0.0420296398657673,0.042016781643180186,0.07514164981849619,0.06981826790663959,0.06959194370577533,0.033570634214949116,0.026907276104193068,0.047360092222304334,0.08341860429578292,0.07788627503991358,0.017705594243661967,0.06871896601681482,0.057967227160401015,0.07923621953006366,0.06063777941215771,0.05895635240741142,0.9806635900057734,2016-02-02,2016,2,2
2016-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-03,2016,2,3
2016-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-04,2016,2,4
2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-05,2016,2,5
2016-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-06,2016,2,6
2016-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-07,2016,2,7
2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-08,2016,2,8
2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-09,2016,2,9
2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-10,2016,2,10
2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-11,2016,2,11
2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-12,2016,2,12
2016-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-13,2016,2,13
2016-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-14,2016,2,14
2016-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-15,2016,2,15
2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-16,2016,2,16
2016-02-17,0.0,0.13849608731569882,0.23618798101739585,0.2608738090181408,0.24886536229455944,0.4797453622447781,0.3067243790993727,0.33565159160031355,0.23827670622732477,0.19204948182698342,0.1802821537930767,0.36283935340144213,0.33956353313705184,0.12295266765647596,0.33821275420143637,0.27917739539914055,0.49246351426625523,0.31903698103026334,0.31608327795717345,5.187482391486884,2016-02-17,2016,2,17
2016-02-18,0.0,0.08783567700804346,0.40640101277464646,0.20706776986488,0.26596101195694427,0.32677011687560165,0.532585229006693,0.45546503960041407,0.17506002113493924,0.14587314312165436,0.43491742962007673,0.5976664993038283,0.5537510439727703,0.08319827690179697,0.4339440086886247,0.420586145456319,0.3535453439148942,0.3708524253761593,0.3962597522653524,6.247739946843639,2016-02-18,2016,2,18
2016-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-19,2016,2,19
2016-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-20,2016,2,20
