Date,Max Temperature,Min Temperature,Average Temperature
2009-06-17 00,306.600,288.280,298.180
2009-06-18 00,309.970,290.910,301.533
2009-06-19 00,309.550,291.750,301.165
2009-06-20 00,305.330,286.410,296.548
2009-06-21 00,303.370,284.300,294.611
2009-06-22 00,307.230,284.690,297.305
2009-06-23 00,310.450,286.320,300.381
2009-06-24 00,311.890,290.630,302.022
2009-06-25 00,308.940,288.120,299.092
2009-06-26 00,309.970,287.780,299.693
2009-06-27 00,316.040,290.010,304.352
2009-06-28 00,317.920,294.190,307.259
2009-06-29 00,316.420,296.020,306.452
2009-06-30 00,313.670,291.030,302.975
2009-07-01 00,312.010,291.550,301.939
2009-07-02 00,312.250,289.730,301.199
2009-07-03 00,311.490,288.170,299.870
2009-07-04 00,311.660,287.800,300.073
2009-07-05 00,308.430,287.470,297.948
2009-07-06 00,307.200,284.820,296.163
2009-07-07 00,307.640,284.680,296.676
2009-07-08 00,308.060,287.050,297.710
2009-07-09 00,308.470,286.690,298.170
2009-07-10 00,308.900,286.140,298.025
2009-07-11 00,308.600,290.120,299.243
2009-07-12 00,308.960,286.190,298.327
2009-07-13 00,311.000,286.000,299.695
2009-07-14 00,314.930,290.270,303.495
2009-07-15 00,315.510,290.720,303.808
2009-07-16 00,314.700,288.830,302.610
2009-07-17 00,317.110,291.630,304.895
2009-07-18 00,318.200,292.970,306.047
2009-07-19 00,319.130,295.200,306.905
2009-07-20 00,316.160,292.400,304.045
2009-07-21 00,312.740,289.780,301.161
2009-07-22 00,312.710,288.970,300.969
2009-07-23 00,312.730,289.310,300.957
2009-07-24 00,311.220,289.010,299.990
2009-07-25 00,312.330,287.580,299.911
2009-07-26 00,314.940,289.520,302.649
2009-07-27 00,316.050,292.560,304.449
2009-07-28 00,313.970,292.150,303.016
2009-07-29 00,312.240,291.430,301.879
2009-07-30 00,312.550,292.720,302.140
2009-07-31 00,310.590,291.450,300.785
2009-08-01 00,310.190,290.580,300.491
2009-08-02 00,307.830,290.120,298.715
2009-08-03 00,308.160,288.790,298.201
2009-08-04 00,307.600,288.160,297.885
2009-08-05 00,306.160,288.290,297.305
2009-08-06 00,299.410,287.460,293.591
2009-08-07 00,305.140,288.090,296.575
2009-08-08 00,308.700,289.930,299.665
2009-08-09 00,311.860,290.220,302.099
2009-08-10 00,315.550,294.280,304.676
2009-08-11 00,312.770,291.560,301.494
2009-08-12 00,313.730,289.930,301.583
2009-08-13 00,311.110,291.360,301.230
2009-08-14 00,308.250,288.910,297.840
2009-08-15 00,310.380,287.880,298.690
2009-08-16 00,311.480,289.310,300.083
2009-08-17 00,313.310,289.100,300.824
2009-08-18 00,314.620,289.430,301.462
2009-08-19 00,313.960,290.980,301.559
2009-08-20 00,309.430,289.270,298.459
2009-08-21 00,313.890,289.590,300.956
2009-08-22 00,313.410,292.580,302.848
2009-08-23 00,307.420,292.020,298.873
2009-08-24 00,307.170,286.210,295.799
2009-08-25 00,308.860,285.580,296.761
2009-08-26 00,310.340,288.670,298.243
2009-08-27 00,311.340,288.450,299.925
2009-08-28 00,314.370,292.670,303.011
2009-08-29 00,315.720,294.020,304.857
2009-08-30 00,309.950,292.950,300.603
2009-08-31 00,308.550,288.840,298.100
2009-09-01 00,311.380,289.340,300.028
