datetime,subcatchment_S42_Runoff_rate,runf_sum,date,year,month,day
2009-07-10,0.0,0.0,2009-07-10,2009,7,10
2009-07-11,0.0,0.0,2009-07-11,2009,7,11
2009-07-12,0.0,0.0,2009-07-12,2009,7,12
2009-07-13,0.0,0.0,2009-07-13,2009,7,13
2009-07-14,0.0,0.0,2009-07-14,2009,7,14
2009-07-15,0.0,0.0,2009-07-15,2009,7,15
2009-07-16,0.0,0.0,2009-07-16,2009,7,16
2009-07-17,0.0,0.0,2009-07-17,2009,7,17
2009-07-18,0.0,0.0,2009-07-18,2009,7,18
2009-07-19,0.0,0.0,2009-07-19,2009,7,19
2009-07-20,0.0,0.0,2009-07-20,2009,7,20
2009-07-21,0.0,0.0,2009-07-21,2009,7,21
2009-07-22,0.0,0.0,2009-07-22,2009,7,22
2009-07-23,0.0,0.0,2009-07-23,2009,7,23
2009-07-24,0.0,0.0,2009-07-24,2009,7,24
2009-07-25,0.0,0.0,2009-07-25,2009,7,25
2009-07-26,0.0,0.0,2009-07-26,2009,7,26
2009-07-27,0.0,0.0,2009-07-27,2009,7,27
2009-07-28,0.0,0.0,2009-07-28,2009,7,28
2009-07-29,0.0,0.0,2009-07-29,2009,7,29
2009-07-30,0.0,0.0,2009-07-30,2009,7,30
2009-07-31,0.0,0.0,2009-07-31,2009,7,31
2009-08-01,0.0,0.0,2009-08-01,2009,8,1
2009-08-02,0.0,0.0,2009-08-02,2009,8,2
2009-08-03,0.0,0.0,2009-08-03,2009,8,3
2009-08-04,0.0,0.0,2009-08-04,2009,8,4
2009-08-05,0.0,0.0,2009-08-05,2009,8,5
2009-08-06,0.0,0.0,2009-08-06,2009,8,6
2009-08-07,0.0,0.0,2009-08-07,2009,8,7
2009-08-08,0.0,0.0,2009-08-08,2009,8,8
2009-08-09,0.0,0.0,2009-08-09,2009,8,9
2009-08-10,0.0,0.0,2009-08-10,2009,8,10
2009-08-11,0.0,0.0,2009-08-11,2009,8,11
2009-08-12,0.0,0.0,2009-08-12,2009,8,12
2009-08-13,0.0,0.0,2009-08-13,2009,8,13
2009-08-14,0.0,0.0,2009-08-14,2009,8,14
2009-08-15,0.0,0.0,2009-08-15,2009,8,15
2009-08-16,0.0,0.0,2009-08-16,2009,8,16
2009-08-17,0.0,0.0,2009-08-17,2009,8,17
2009-08-18,0.0,0.0,2009-08-18,2009,8,18
2009-08-19,0.0,0.0,2009-08-19,2009,8,19
2009-08-20,0.0,0.0,2009-08-20,2009,8,20
2009-08-21,0.0,0.0,2009-08-21,2009,8,21
2009-08-22,0.0,0.0,2009-08-22,2009,8,22
2009-08-23,0.0,0.0,2009-08-23,2009,8,23
2009-08-24,0.0,0.0,2009-08-24,2009,8,24
2009-08-25,0.0,0.0,2009-08-25,2009,8,25
2009-08-26,0.0,0.0,2009-08-26,2009,8,26
2009-08-27,0.0,0.0,2009-08-27,2009,8,27
2009-08-28,0.0,0.0,2009-08-28,2009,8,28
