,35,bif_sum,date,year,month,day
243,0.0,0.0,2009-09-03,2009,9,3
244,0.0,0.0,2009-09-04,2009,9,4
245,0.0,0.0,2009-09-05,2009,9,5
246,0.0,0.0,2009-09-06,2009,9,6
247,0.0,0.0,2009-09-07,2009,9,7
248,0.0,0.0,2009-09-08,2009,9,8
249,0.0,0.0,2009-09-09,2009,9,9
250,0.0,0.0,2009-09-10,2009,9,10
251,0.0,0.0,2009-09-11,2009,9,11
252,0.0,0.0,2009-09-12,2009,9,12
253,0.0,0.0,2009-09-13,2009,9,13
254,0.0,0.0,2009-09-14,2009,9,14
255,0.0,0.0,2009-09-15,2009,9,15
256,0.0,0.0,2009-09-16,2009,9,16
257,0.0,0.0,2009-09-17,2009,9,17
258,0.0,0.0,2009-09-18,2009,9,18
259,0.0,0.0,2009-09-19,2009,9,19
260,0.0,0.0,2009-09-20,2009,9,20
261,0.0,0.0,2009-09-21,2009,9,21
262,0.0,0.0,2009-09-22,2009,9,22
263,0.0,0.0,2009-09-23,2009,9,23
264,0.0,0.0,2009-09-24,2009,9,24
265,0.0,0.0,2009-09-25,2009,9,25
266,0.0,0.0,2009-09-26,2009,9,26
267,0.0,0.0,2009-09-27,2009,9,27
268,0.0,0.0,2009-09-28,2009,9,28
269,0.0,0.0,2009-09-29,2009,9,29
270,0.0,0.0,2009-09-30,2009,9,30
271,0.0,0.0,2009-10-01,2009,10,1
272,0.0,0.0,2009-10-02,2009,10,2
273,0.0,0.0,2009-10-03,2009,10,3
274,0.0,0.0,2009-10-04,2009,10,4
275,0.0,0.0,2009-10-05,2009,10,5
276,0.0,0.0,2009-10-06,2009,10,6
277,0.0,0.0,2009-10-07,2009,10,7
278,0.0,0.0,2009-10-08,2009,10,8
279,0.0,0.0,2009-10-09,2009,10,9
280,0.0,0.0,2009-10-10,2009,10,10
281,0.0,0.0,2009-10-11,2009,10,11
282,0.0,0.0,2009-10-12,2009,10,12
283,0.0,0.0,2009-10-13,2009,10,13
284,0.2911594140443143,0.2911594140443143,2009-10-14,2009,10,14
285,0.0,0.0,2009-10-15,2009,10,15
286,0.0,0.0,2009-10-16,2009,10,16
287,0.0,0.0,2009-10-17,2009,10,17
288,0.0,0.0,2009-10-18,2009,10,18
289,0.0,0.0,2009-10-19,2009,10,19
290,0.0,0.0,2009-10-20,2009,10,20
291,0.0,0.0,2009-10-21,2009,10,21
292,0.0,0.0,2009-10-22,2009,10,22
293,0.0,0.0,2009-10-23,2009,10,23
294,0.0,0.0,2009-10-24,2009,10,24
295,0.0,0.0,2009-10-25,2009,10,25
296,0.0,0.0,2009-10-26,2009,10,26
297,0.0,0.0,2009-10-27,2009,10,27
298,0.0,0.0,2009-10-28,2009,10,28
299,0.0,0.0,2009-10-29,2009,10,29
300,0.0,0.0,2009-10-30,2009,10,30
301,0.0,0.0,2009-10-31,2009,10,31
302,0.0,0.0,2009-11-01,2009,11,1
303,0.0,0.0,2009-11-02,2009,11,2
304,0.0,0.0,2009-11-03,2009,11,3
305,0.0,0.0,2009-11-04,2009,11,4
306,0.0,0.0,2009-11-05,2009,11,5
307,0.0,0.0,2009-11-06,2009,11,6
308,0.0,0.0,2009-11-07,2009,11,7
309,0.0,0.0,2009-11-08,2009,11,8
310,0.0,0.0,2009-11-09,2009,11,9
311,0.0,0.0,2009-11-10,2009,11,10
312,0.0,0.0,2009-11-11,2009,11,11
313,0.0,0.0,2009-11-12,2009,11,12
314,0.0,0.0,2009-11-13,2009,11,13
315,0.0,0.0,2009-11-14,2009,11,14
316,0.0,0.0,2009-11-15,2009,11,15
317,0.0,0.0,2009-11-16,2009,11,16
318,0.0,0.0,2009-11-17,2009,11,17
319,102428.84662731763,102428.84662731763,2009-11-18,2009,11,18
320,0.0,0.0,2009-11-19,2009,11,19
321,0.0,0.0,2009-11-20,2009,11,20
322,0.0,0.0,2009-11-21,2009,11,21
323,0.0,0.0,2009-11-22,2009,11,22
324,0.0,0.0,2009-11-23,2009,11,23
325,0.0,0.0,2009-11-24,2009,11,24
326,0.0,0.0,2009-11-25,2009,11,25
327,0.0,0.0,2009-11-26,2009,11,26
328,0.0,0.0,2009-11-27,2009,11,27
329,0.0,0.0,2009-11-28,2009,11,28
330,0.0,0.0,2009-11-29,2009,11,29
331,0.0,0.0,2009-11-30,2009,11,30
332,0.0,0.0,2009-12-01,2009,12,1
333,0.0,0.0,2009-12-02,2009,12,2
334,0.0,0.0,2009-12-03,2009,12,3
335,0.0,0.0,2009-12-04,2009,12,4
336,0.0,0.0,2009-12-05,2009,12,5
337,0.0,0.0,2009-12-06,2009,12,6
338,5867.550387971583,5867.550387971583,2009-12-07,2009,12,7
339,0.0,0.0,2009-12-08,2009,12,8
340,0.0,0.0,2009-12-09,2009,12,9
341,0.0,0.0,2009-12-10,2009,12,10
342,0.0,0.0,2009-12-11,2009,12,11
343,262.7934287063607,262.7934287063607,2009-12-12,2009,12,12
344,298.7824968847473,298.7824968847473,2009-12-13,2009,12,13
345,0.0,0.0,2009-12-14,2009,12,14
346,0.0,0.0,2009-12-15,2009,12,15
347,0.0,0.0,2009-12-16,2009,12,16
348,0.0,0.0,2009-12-17,2009,12,17
349,0.0,0.0,2009-12-18,2009,12,18
350,0.0,0.0,2009-12-19,2009,12,19
351,0.0,0.0,2009-12-20,2009,12,20
352,1106.6175256695176,1106.6175256695176,2009-12-21,2009,12,21
353,3831.3931984467727,3831.3931984467727,2009-12-22,2009,12,22
354,0.0,0.0,2009-12-23,2009,12,23
355,0.0,0.0,2009-12-24,2009,12,24
356,0.0,0.0,2009-12-25,2009,12,25
357,0.0,0.0,2009-12-26,2009,12,26
358,0.0,0.0,2009-12-27,2009,12,27
359,0.0,0.0,2009-12-28,2009,12,28
360,0.0,0.0,2009-12-29,2009,12,29
361,0.0,0.0,2009-12-30,2009,12,30
362,0.0,0.0,2009-12-31,2009,12,31
363,0.0,0.0,2010-01-01,2010,1,1
364,0.0,0.0,2010-01-02,2010,1,2
365,0.0,0.0,2010-01-03,2010,1,3
366,0.0,0.0,2010-01-04,2010,1,4
367,0.0,0.0,2010-01-05,2010,1,5
368,0.0,0.0,2010-01-06,2010,1,6
369,0.0,0.0,2010-01-07,2010,1,7
370,0.0,0.0,2010-01-08,2010,1,8
371,0.0,0.0,2010-01-09,2010,1,9
372,0.0,0.0,2010-01-10,2010,1,10
373,0.0,0.0,2010-01-11,2010,1,11
374,0.0,0.0,2010-01-12,2010,1,12
375,12362.258153794619,12362.258153794619,2010-01-13,2010,1,13
376,0.0,0.0,2010-01-14,2010,1,14
377,0.0,0.0,2010-01-15,2010,1,15
378,0.0,0.0,2010-01-16,2010,1,16
379,0.0,0.0,2010-01-17,2010,1,17
380,0.0,0.0,2010-01-18,2010,1,18
381,0.0,0.0,2010-01-19,2010,1,19
382,2.593965688758437,2.593965688758437,2010-01-20,2010,1,20
383,0.0,0.0,2010-01-21,2010,1,21
384,154.9321003217624,154.9321003217624,2010-01-22,2010,1,22
385,0.0,0.0,2010-01-23,2010,1,23
386,0.0,0.0,2010-01-24,2010,1,24
387,0.0,0.0,2010-01-25,2010,1,25
388,133.9421534729314,133.9421534729314,2010-01-26,2010,1,26
389,0.0,0.0,2010-01-27,2010,1,27
390,0.0,0.0,2010-01-28,2010,1,28
391,0.0,0.0,2010-01-29,2010,1,29
392,919.8872881290974,919.8872881290974,2010-01-30,2010,1,30
393,0.0,0.0,2010-01-31,2010,1,31
394,0.0,0.0,2010-02-01,2010,2,1
395,0.0,0.0,2010-02-02,2010,2,2
396,0.0,0.0,2010-02-03,2010,2,3
397,0.0,0.0,2010-02-04,2010,2,4
398,8583.32070594274,8583.32070594274,2010-02-05,2010,2,5
399,0.0,0.0,2010-02-06,2010,2,6
400,0.0,0.0,2010-02-07,2010,2,7
401,0.0,0.0,2010-02-08,2010,2,8
402,0.0,0.0,2010-02-09,2010,2,9
403,0.0,0.0,2010-02-10,2010,2,10
404,0.0,0.0,2010-02-11,2010,2,11
405,0.0,0.0,2010-02-12,2010,2,12
406,0.0,0.0,2010-02-13,2010,2,13
407,0.0,0.0,2010-02-14,2010,2,14
408,0.0,0.0,2010-02-15,2010,2,15
409,0.0,0.0,2010-02-16,2010,2,16
410,0.0,0.0,2010-02-17,2010,2,17
411,0.0,0.0,2010-02-18,2010,2,18
412,0.0,0.0,2010-02-19,2010,2,19
413,0.0,0.0,2010-02-20,2010,2,20
414,0.0,0.0,2010-02-21,2010,2,21
415,0.0,0.0,2010-02-22,2010,2,22
416,0.0,0.0,2010-02-23,2010,2,23
417,1597.1064391710788,1597.1064391710788,2010-02-24,2010,2,24
418,0.0,0.0,2010-02-25,2010,2,25
419,0.0,0.0,2010-02-26,2010,2,26
420,0.0,0.0,2010-02-27,2010,2,27
421,0.0,0.0,2010-02-28,2010,2,28
422,0.0,0.0,2010-03-01,2010,3,1
423,0.0,0.0,2010-03-02,2010,3,2
424,0.0,0.0,2010-03-03,2010,3,3
425,118.31071624418865,118.31071624418865,2010-03-04,2010,3,4
426,0.0,0.0,2010-03-05,2010,3,5
427,0.0,0.0,2010-03-06,2010,3,6
428,0.0,0.0,2010-03-07,2010,3,7
429,0.0,0.0,2010-03-08,2010,3,8
430,0.0,0.0,2010-03-09,2010,3,9
431,0.0,0.0,2010-03-10,2010,3,10
432,0.0,0.0,2010-03-11,2010,3,11
433,0.0,0.0,2010-03-12,2010,3,12
434,0.0,0.0,2010-03-13,2010,3,13
435,0.0,0.0,2010-03-14,2010,3,14
436,0.0,0.0,2010-03-15,2010,3,15
437,0.0,0.0,2010-03-16,2010,3,16
438,0.0,0.0,2010-03-17,2010,3,17
439,0.0,0.0,2010-03-18,2010,3,18
440,0.0,0.0,2010-03-19,2010,3,19
441,0.0,0.0,2010-03-20,2010,3,20
442,0.0,0.0,2010-03-21,2010,3,21
443,0.0,0.0,2010-03-22,2010,3,22
444,0.0,0.0,2010-03-23,2010,3,23
445,0.0,0.0,2010-03-24,2010,3,24
446,0.0,0.0,2010-03-25,2010,3,25
447,0.0,0.0,2010-03-26,2010,3,26
448,0.0,0.0,2010-03-27,2010,3,27
449,0.0,0.0,2010-03-28,2010,3,28
450,0.0,0.0,2010-03-29,2010,3,29
451,0.0,0.0,2010-03-30,2010,3,30
452,0.0,0.0,2010-03-31,2010,3,31
453,0.0,0.0,2010-04-01,2010,4,1
454,0.0,0.0,2010-04-02,2010,4,2
455,0.0,0.0,2010-04-03,2010,4,3
456,0.0,0.0,2010-04-04,2010,4,4
457,291.9005470982453,291.9005470982453,2010-04-05,2010,4,5
458,0.0,0.0,2010-04-06,2010,4,6
459,0.0,0.0,2010-04-07,2010,4,7
460,0.0,0.0,2010-04-08,2010,4,8
461,0.0,0.0,2010-04-09,2010,4,9
462,0.0,0.0,2010-04-10,2010,4,10
