datetime,subcatchment_S53_Runoff_rate,subcatchment_S54_Runoff_rate,subcatchment_S68_Runoff_rate,subcatchment_S70_Runoff_rate,subcatchment_S71_Runoff_rate,subcatchment_S74_Runoff_rate,subcatchment_S75_Runoff_rate,subcatchment_S76_Runoff_rate,subcatchment_S78_Runoff_rate,subcatchment_S79_Runoff_rate,subcatchment_S82_Runoff_rate,subcatchment_S84_Runoff_rate,subcatchment_S85_Runoff_rate,subcatchment_S86_Runoff_rate,subcatchment_S89_Runoff_rate,subcatchment_S91_Runoff_rate,subcatchment_S92_Runoff_rate,subcatchment_S93_Runoff_rate,subcatchment_S94_Runoff_rate,subcatchment_S95_Runoff_rate,subcatchment_S96_Runoff_rate,subcatchment_S97_Runoff_rate,subcatchment_S98_Runoff_rate,subcatchment_S99_Runoff_rate,subcatchment_S102_Runoff_rate,subcatchment_S103_Runoff_rate,subcatchment_S101_Runoff_rate,subcatchment_S108_Runoff_rate,runf_sum,date,year,month,day
2009-01-22,0.3725112179583304,1.004347515903044,0.7038834168930731,0.10745694511211015,0.5254037380221288,0.651685048024334,0.46668666873238746,0.2425430880401523,1.0797598201781777,0.43636597391715715,1.1264737482741483,1.0552217010434262,1.2081857850671345,1.2349728359517964,0.7551544158056982,0.9551169739478359,0.9595878354353303,0.7215237342018248,0.7527500546798905,1.308738699987983,0.8109956633724017,0.3095686796409381,0.4831866030394659,0.43709527732836906,0.09940990680805441,1.3032176745631576,3.737928312768362,0.7419354966265579,23.59170683132327,2009-01-22,2009,1,22
2009-01-23,0.12998399990255582,0.32954243115795173,0.2284444522384116,0.02592896874810075,0.18713551099665424,0.22781988717761548,0.16848018180081958,0.08510997419759032,0.342661872617631,0.15642410587443542,0.3794843813379216,0.3861667691111582,0.38360901743708903,0.4214081525248772,0.25648804050683555,0.3100197495628218,0.3326332238305347,0.2653810681351251,0.2643978252899885,0.4163470454991882,0.29447954067940885,0.10589494055124266,0.1722218327977743,0.15643045528353858,0.03472134955018527,0.40448647565066675,1.2025924766093017,0.24763656021119015,7.915930289280614,2009-01-23,2009,1,23
2009-01-24,0.026534550796649656,0.12471796967847404,0.08483921684027644,0.005115048530140587,0.04535149745686955,0.06253441165839942,0.03899651294794046,0.010202322380138311,0.14727134348906903,0.03052471408281104,0.13430420119013037,0.10030801989223041,0.16916795596393028,0.14254836161781603,0.07917562044923829,0.12178489800564178,0.09935968721327358,0.0624830707298945,0.07436718817560767,0.18236681526167664,0.07515700261773628,0.015492067978727249,0.03917631051130956,0.030593293624068624,0.006990876777783235,0.19297640757360235,0.5018368201663261,0.0836020797032607,2.687778265313023,2009-01-24,2009,1,24
2009-01-25,0.007807277613220348,0.022568058930739845,0.011032076305468132,0.0,0.011768535228422375,0.013540654890912284,0.009976868708326456,0.0038376594172790943,0.0253192485270996,0.00798037476841358,0.029214974141753874,0.03198594326879203,0.028040266233900307,0.032989972158641065,0.013969018550246745,0.018393294018757698,0.025067839818967534,0.018144703678665358,0.015996417491215845,0.035777054735725185,0.019428377010852805,0.0045967140755603835,0.008480998222502398,0.007899556042449202,0.001870671368947183,0.02919376123521312,0.08864665697671645,0.012808047016017373,0.5363350204348062,2009-01-25,2009,1,25
2009-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-26,2009,1,26
2009-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-27,2009,1,27
2009-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-28,2009,1,28
2009-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-29,2009,1,29
2009-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-30,2009,1,30
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-31,2009,1,31
